Institution Name,Grand total men (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total men (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total women (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total men (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total women (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total men (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Psychology  Bachelor's degree),Grand total women (C2016_A  First major  Psychology  Bachelor's degree),Grand total men (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total women (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total men (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total men (C2016_A  First major  History  Bachelor's degree),Grand total women (C2016_A  First major  History  Bachelor's degree),City location of institution,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Applicants men (ADM2015),Applicants women (ADM2015),Admissions men (ADM2015),Admissions women (ADM2015),Percent of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Number of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Total women (EF2015  All students  Undergraduate total),Total men (EF2015  All students  Undergraduate total),Grand total (EF2015B  Undergraduate  Age under 25 total),Grand total (EF2015B  Undergraduate  Age 25 and over total),American Indian or Alaska Native total (EF2015A  All students total),Asian total (EF2015A  All students total),Black or African American total (EF2015A  All students total),Hispanic total (EF2015A  All students total),Native Hawaiian or Other Pacific Islander total (EF2015A  All students total),White total (EF2015A  All students total),Two or more races total (EF2015A  All students total),Race/ethnicity unknown total (EF2015A  All students total),Nonresident alien total (EF2015A  All students total),8-year Graduation rate - bachelor's degree within 200% of normal time (GR200_15),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_15),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_15),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),American Indian or Alaska Native total (C2016_A  First major  Grand total  Bachelor's degree),Asian total (C2016_A  First major  Grand total  Bachelor's degree),Black or African American total (C2016_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2016_A  First major  Grand total  Bachelor's degree),Native Hawaiian or Other Pacific Islander total (C2016_A  First major  Grand total  Bachelor's degree),White total (C2016_A  First major  Grand total  Bachelor's degree),Two or more races total (C2016_A  First major  Grand total  Bachelor's degree),Race/ethnicity unknown total (C2016_A  First major  Grand total  Bachelor's degree),Nonresident alien total (C2016_A  First major  Grand total  Bachelor's degree),Early Career($),Mid-Career($),SAT 25th percentile,SAT 75th percentile,ACT 25th percentile,ACT 75th percentile,AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15)
Northwestern University,189.0,305.0,68.0,18.0,10.0,19.0,53.0,75.0,48.0,16.0,24.0,16.0,39.0,137.0,262.0,170.0,84.0,118.0,1.0,18.0,14.0,12.0,31.0,26.0,Evanston,www.northwestern.edu,2,IL,1,13,2,1,70496.0,70496.0,15519.0,16603.0,2079.0,2111.0,57,1155,4424,4415,8405,398,20,2892,1073,1704,14,10070,630,1609,3643,95.0,94.0,86.0,97,2328,2,424,118,196,0,1270,121,27,170,59500.0,113300.0,2080.0,2330.0,102.0,114.0,0.08634530300000001,0.500056055,0.723483457,0.451535508,0.825709742,0.089044064,0.500003546,275.0
Southern Illinois University-Edwardsville,54.0,76.0,100.0,20.0,7.0,13.0,57.0,86.0,9.0,5.0,22.0,13.0,28.0,141.0,70.0,65.0,27.0,52.0,49.0,324.0,174.0,152.0,27.0,9.0,Edwardsville,www.siue.edu,1,IL,1,21,2,1,23827.0,36355.0,3071.0,4715.0,2747.0,4122.0,92,1932,6288,5493,10136,1645,31,266,1982,537,14,10324,426,261,424,53.0,50.0,28.0,74,2273,5,32,211,71,3,1817,64,30,40,48100.0,83500.0,1340.0,1743.0,64.0,86.0,0.240289644,0.49776537299999996,0.453952005,0.46382384200000004,0.8590206909999999,0.088515173,0.478340875,131.0
Stephen F Austin State University,28.0,40.0,30.0,4.0,0.0,8.0,9.0,22.0,6.0,12.0,16.0,7.0,17.0,54.0,29.0,19.0,74.0,90.0,45.0,294.0,195.0,222.0,21.0,16.0,Nacogdoches,www.sfasu.edu,1,TX,1,33,2,1,21230.0,31022.0,3900.0,7482.0,2287.0,4721.0,79,1726,6864,4035,9803,1096,52,146,2454,1909,7,7353,397,155,133,45.0,43.0,23.0,71,2086,4,19,407,263,1,1296,50,36,10,44500.0,84600.0,890.0,1100.0,53.0,72.0,0.180911467,0.466355769,0.598570611,0.451763614,0.79079318,0.111269908,0.482449942,111.0
Texas State University,171.0,358.0,167.0,27.0,26.0,52.0,114.0,148.0,34.0,28.0,24.0,9.0,94.0,330.0,190.0,196.0,130.0,305.0,73.0,275.0,601.0,519.0,54.0,27.0,San Marcos,www.txstate.edu,1,TX,1,23,2,1,21595.0,33019.0,8132.0,12579.0,5326.0,9346.0,74,3897,19086,14394,27410,6070,115,893,3299,12614,57,18889,1258,317,537,61.0,57.0,30.0,78,6448,23,157,395,1988,6,3563,190,85,41,46900.0,86600.0,1370.0,1650.0,66.0,83.0,0.296872381,0.490194559,0.633964882,0.455786494,0.853132042,0.08964287900000001,0.47813121799999997,148.0
The University of Alabama,197.0,451.0,53.0,9.0,11.0,25.0,98.0,117.0,38.0,19.0,36.0,37.0,51.0,178.0,115.0,115.0,36.0,129.0,57.0,571.0,1108.0,721.0,44.0,31.0,Tuscaloosa,www.ua.edu/,1,AL,1,13,2,1,28836.0,45316.0,13795.0,22408.0,7345.0,12055.0,78,5319,17534,14424,29367,2590,137,455,4123,1440,36,28309,943,146,1509,69.0,67.0,43.0,86,6354,20,75,631,198,8,5102,118,11,191,49000.0,90900.0,1460.0,1810.0,72.0,100.0,0.148960434,0.495280371,0.40201505,0.455153235,0.7585829609999999,0.094975296,0.475309724,179.0
The University of Montana,63.0,74.0,13.0,2.0,10.0,15.0,29.0,56.0,6.0,12.0,32.0,10.0,37.0,91.0,104.0,92.0,84.0,103.0,4.0,29.0,193.0,126.0,28.0,24.0,Missoula,www.umt.edu,1,MT,1,13,2,1,19521.0,37047.0,2495.0,3105.0,2234.0,2863.0,88,1657,5853,4924,8166,2611,381,369,104,512,35,9726,473,963,481,51.0,48.0,24.0,73,1685,32,20,14,65,1,1351,59,111,32,43500.0,83600.0,1460.0,1820.0,64.0,87.0,0.36718994299999996,0.496330654,0.433991036,0.450233541,0.854134782,0.08417167099999999,0.452013214,123.0
The University of Texas at El Paso,58.0,107.0,42.0,19.0,13.0,27.0,117.0,167.0,10.0,17.0,28.0,17.0,55.0,157.0,32.0,48.0,50.0,77.0,100.0,299.0,290.0,271.0,22.0,20.0,El Paso,www.utep.edu,1,TX,1,11,2,1,22552.0,35527.0,3225.0,3909.0,3224.0,3909.0,86,2509,10862,9358,15288,4932,42,220,638,18688,28,1883,151,146,1601,48.0,39.0,12.0,72,3332,8,26,110,2682,3,297,18,8,180,46300.0,88400.0,820.0,1050.0,49.0,66.0,0.36886114799999997,0.497258266,0.350002269,0.451160723,0.842496991,0.109211221,0.47505381700000004,99.0
University of Akron Main Campus,54.0,81.0,60.0,12.0,5.0,9.0,43.0,55.0,12.0,13.0,31.0,18.0,41.0,99.0,67.0,72.0,56.0,59.0,116.0,377.0,353.0,241.0,15.0,6.0,Akron,www.uakron.edu,1,OH,1,12,2,1,24876.0,33407.0,7399.0,7767.0,7066.0,7584.0,94,3433,8984,10109,15958,3067,33,584,2551,534,11,16559,807,609,1413,44.0,40.0,16.0,74,3113,4,89,273,72,2,2466,83,71,53,48100.0,81600.0,890.0,1190.0,55.0,77.0,0.270455445,0.49829019,0.468397556,0.46664716,0.8097555679999999,0.112277671,0.489296012,100.0
University of Arkansas at Little Rock,20.0,31.0,35.0,9.0,8.0,29.0,27.0,33.0,7.0,10.0,13.0,10.0,21.0,78.0,18.0,41.0,18.0,35.0,57.0,198.0,126.0,109.0,19.0,14.0,Little Rock,ualr.edu/www/,1,AR,1,12,2,1,23158.0,34596.0,803.0,1135.0,721.0,1020.0,95,667,5782,3793,5859,3716,36,267,2599,777,0,6658,937,136,481,26.0,21.0,7.0,72,1346,4,35,323,46,1,783,86,22,46,43400.0,67800.0,1310.0,1620.0,54.0,73.0,0.475003701,0.478474415,0.632214496,0.475930733,0.842534247,0.07966224599999999,0.480397033,54.0
University of Maryland-Baltimore County,41.0,49.0,338.0,77.0,16.0,23.0,175.0,249.0,51.0,23.0,22.0,8.0,71.0,234.0,191.0,116.0,50.0,90.0,37.0,70.0,3.0,5.0,27.0,22.0,Baltimore,umbc.edu,1,MD,1,21,2,1,26894.0,40122.0,5099.0,5530.0,3186.0,3130.0,74,1193,5078,6165,9591,1652,20,2499,2237,780,27,6171,470,593,1042,68.0,65.0,37.0,86,2521,2,496,401,136,11,1207,71,100,97,54000.0,99100.0,1640.0,1940.0,24.0,29.0,0.250713741,0.495370319,0.73178648,0.456614675,0.8514494109999999,0.028759256,0.480526613,170.0
University of Miami,51.0,177.0,25.0,10.0,5.0,4.0,167.0,234.0,20.0,12.0,30.0,23.0,35.0,127.0,165.0,147.0,91.0,71.0,50.0,209.0,314.0,202.0,6.0,2.0,Coral Gables,www.miami.edu/,2,FL,1,21,2,1,64306.0,64306.0,15562.0,17857.0,5835.0,6793.0,85,1748,5715,5385,10445,655,20,936,1228,3717,14,6595,434,1120,2761,82.0,82.0,71.0,92,2601,2,152,194,595,1,1087,79,138,353,52700.0,92400.0,1780.0,2070.0,91.0,107.0,0.111063897,0.499603081,0.7578075329999999,0.462573501,0.852447209,0.093064105,0.500003888,235.0
University of Mississippi,69.0,188.0,24.0,2.0,5.0,28.0,57.0,100.0,4.0,13.0,19.0,24.0,31.0,121.0,83.0,68.0,27.0,46.0,113.0,583.0,555.0,413.0,21.0,16.0,University,www.olemiss.edu,1,MS,1,33,2,1,23606.0,37874.0,7481.0,10578.0,5736.0,8481.0,77,2912,10598,8187,17177,1608,73,462,3088,647,20,17616,451,36,819,61.0,59.0,37.0,87,3826,10,65,492,98,4,3055,55,9,38,45700.0,85300.0,990.0,1200.0,63.0,85.0,0.156553967,0.49178969299999997,0.403931077,0.45431382299999995,0.770021837,0.11864040099999999,0.473078183,157.0
University of Nebraska at Omaha,29.0,64.0,110.0,10.0,6.0,22.0,58.0,64.0,9.0,10.0,8.0,4.0,33.0,100.0,58.0,69.0,40.0,74.0,13.0,56.0,390.0,276.0,33.0,12.0,Omaha,www.unomaha.edu,1,NE,1,11,2,1,20830.0,32750.0,2509.0,3072.0,1865.0,2373.0,80,1397,6491,5997,9707,2781,45,492,874,1496,13,10731,583,360,932,48.0,42.0,14.0,77,2405,11,65,132,101,1,1793,146,73,83,46600.0,84700.0,1316.0,1813.0,60.0,85.0,0.346230252,0.49925756200000004,0.5047161370000001,0.457902672,0.776666182,0.084679616,0.475262181,104.0
University of North Dakota,32.0,76.0,34.0,4.0,4.0,14.0,43.0,49.0,9.0,6.0,26.0,16.0,27.0,105.0,46.0,25.0,18.0,37.0,40.0,211.0,207.0,112.0,7.0,6.0,Grand Forks,und.edu,1,ND,1,13,2,1,20414.0,31568.0,2607.0,2313.0,2087.0,1942.0,84,1577,5020,6557,9582,1995,236,242,373,440,16,11789,441,397,1017,56.0,53.0,24.0,81,2115,30,22,36,46,1,1793,56,57,74,50900.0,91800.0,930.0,1180.0,63.0,79.0,0.285282092,0.49122939299999996,0.37094328,0.45892905799999995,0.839803031,0.118210734,0.476988116,133.0
University of Southern Maine,25.0,43.0,11.0,3.0,7.0,7.0,22.0,28.0,2.0,5.0,7.0,8.0,14.0,44.0,75.0,79.0,25.0,34.0,31.0,189.0,126.0,128.0,18.0,15.0,Portland,www.usm.maine.edu,1,ME,1,13,2,1,21976.0,32688.0,1384.0,2018.0,1195.0,1791.0,90,631,3416,2710,4160,1961,72,143,231,150,5,5898,179,987,74,37.0,34.0,10.0,64,1218,12,30,24,22,1,1005,26,86,12,44900.0,76000.0,1290.0,1640.0,55.0,75.0,0.435539069,0.49343967200000005,0.401179292,0.466918326,0.8306319,0.081384194,0.48080848200000004,81.0
University of Toledo,30.0,52.0,28.0,5.0,4.0,8.0,42.0,54.0,7.0,1.0,7.0,6.0,21.0,49.0,21.0,26.0,32.0,39.0,138.0,367.0,283.0,178.0,17.0,8.0,Toledo,www.utoledo.edu/,1,OH,1,11,2,1,24791.0,34129.0,4827.0,5851.0,4487.0,5465.0,96,3215,7781,8283,13666,2398,39,615,2207,876,15,13595,537,698,1795,47.0,46.0,23.0,72,2627,5,72,249,90,1,1954,57,45,154,49200.0,86100.0,1350.0,1760.0,63.0,85.0,0.254003813,0.499542816,0.531476905,0.46281333799999996,0.7547306509999999,0.08675275199999999,0.487449354,116.0
Baylor University,95.0,165.0,29.0,3.0,9.0,16.0,147.0,184.0,9.0,11.0,26.0,22.0,30.0,93.0,61.0,101.0,27.0,55.0,62.0,353.0,471.0,385.0,19.0,12.0,Waco,www.baylor.edu,2,TX,1,12,2,1,59174.0,59174.0,14571.0,17565.0,5799.0,8234.0,97,3514,8225,5964,13881,308,64,970,1126,2231,8,10790,754,133,711,76.0,75.0,57.0,89,3062,16,179,199,418,2,2012,140,9,87,51600.0,98700.0,1670.0,1960.0,81.0,99.0,0.042474522,0.487338328,0.5595192179999999,0.450901602,0.80070702,0.090047815,0.500004225,208.0
College of Staten Island CUNY,30.0,51.0,35.0,7.0,0.0,7.0,28.0,38.0,10.0,9.0,0.0,1.0,79.0,202.0,60.0,101.0,17.0,17.0,33.0,133.0,163.0,128.0,30.0,13.0,Staten Island,www.csi.cuny.edu,1,NY,1,11,2,1,30783.0,37893.0,4919.0,6405.0,4777.0,6273.0,84,2020,7097,5628,10419,2305,23,1554,1864,2988,27,6693,165,0,387,55.0,51.0,27.0,80,1519,5,152,136,273,3,891,17,0,42,48800.0,94900.0,1248.4038460000002,1527.7227560000001,58.98746082,75.48119122,0.296697424,0.49337533899999997,0.681672253,0.44854448,0.8365650659999999,0.08816088,0.494648012,133.0
East Carolina University,87.0,160.0,56.0,12.0,9.0,26.0,123.0,172.0,3.0,11.0,54.0,52.0,25.0,146.0,123.0,80.0,58.0,82.0,93.0,752.0,399.0,366.0,25.0,9.0,Greenville,www.ecu.edu,1,NC,1,13,2,1,21162.0,37120.0,6642.0,10229.0,4561.0,7086.0,75,3146,13440,9599,19488,3551,191,806,4497,1599,35,19404,782,730,245,59.0,56.0,31.0,80,4344,25,123,625,232,6,3123,118,74,18,45600.0,80800.0,1430.0,1670.0,67.0,81.0,0.26075914,0.48612377,0.49946494799999996,0.461227812,0.818189099,0.087007181,0.462522891,146.0
Fort Hays State University,20.0,86.0,82.0,24.0,3.0,2.0,17.0,21.0,3.0,4.0,11.0,7.0,15.0,70.0,26.0,64.0,22.0,28.0,30.0,185.0,467.0,650.0,4.0,2.0,Hays,www.fhsu.edu,1,KS,1,33,2,1,17510.0,27052.0,1020.0,1314.0,856.0,1149.0,95,928,7224,4607,8056,3774,62,144,534,946,18,8600,291,149,3466,47.0,44.0,19.0,70,2604,4,22,60,108,1,1247,33,13,1116,43200.0,73300.0,1248.4038460000002,1527.7227560000001,58.98746082,75.48119122,0.434528806,0.47557579899999997,0.568191464,0.46662671,0.606974301,0.08816088,0.47708517100000003,110.0
Georgia State University,60.0,233.0,237.0,70.0,24.0,62.0,113.0,214.0,19.0,16.0,62.0,43.0,85.0,360.0,188.0,288.0,184.0,183.0,29.0,166.0,618.0,546.0,35.0,25.0,Atlanta,www.gsu.edu,1,GA,1,11,2,1,27088.0,41656.0,5284.0,8686.0,3085.0,4829.0,94,3405,14831,10309,20032,5108,47,3525,12002,2696,21,9829,1405,918,1615,56.0,53.0,21.0,80,4712,6,502,1805,420,1,1531,242,105,100,47300.0,86700.0,1420.0,1740.0,59.0,76.0,0.323811244,0.48384215,0.743331209,0.456776632,0.848371145,0.078608921,0.477552608,130.0
Humboldt State University,46.0,47.0,15.0,4.0,3.0,9.0,85.0,111.0,9.0,5.0,30.0,20.0,43.0,82.0,88.0,99.0,52.0,63.0,36.87304075,182.1128527,79.0,55.0,24.0,9.0,Arcata,www.humboldt.edu,1,CA,1,33,2,1,23951.0,35111.0,5241.0,7777.0,3798.0,6226.0,79,1078,4607,3652,6742,1517,96,302,290,2766,16,4002,558,622,138,45.0,40.0,11.0,75,1727,19,57,56,422,4,892,105,150,22,44800.0,86000.0,870.0,1110.0,51.0,72.0,0.29991761899999997,0.493374424,0.68611566,0.45039576,0.874342994,0.110186481,0.48215636,96.0
Indiana University-Purdue University-Fort Wayne,25.0,17.0,42.0,2.0,5.0,11.0,20.0,30.0,4.0,5.0,15.0,6.0,19.0,54.0,15.0,25.0,30.0,47.0,15.0,173.0,144.0,110.0,5.0,6.0,Fort Wayne,www.ipfw.edu,1,IN,1,11,2,1,21679.0,33193.0,1567.0,1939.0,1460.0,1771.0,82,1211,6693,5467,10138,2022,32,338,544,686,4,10430,332,94,259,29.0,25.0,6.0,64,1384,6,29,41,68,2,1147,39,7,45,44200.0,77500.0,1280.0,1610.0,55.0,76.0,0.27728859100000003,0.49495812899999997,0.321648851,0.46256884600000003,0.824960282,0.082993,0.47799359999999996,60.0
Marshall University,24.0,28.0,20.0,3.0,3.0,5.0,32.0,41.0,10.0,5.0,15.0,12.0,15.0,76.0,22.0,26.0,27.0,24.0,61.0,226.0,145.0,115.0,16.0,8.0,Huntington,www.marshall.edu/,1,WV,1,13,2,1,20726.0,29954.0,2060.0,2851.0,1766.0,2551.0,95,1745,5447,4071,8061,1457,42,153,730,255,14,10770,293,803,561,49.0,45.0,23.0,73,1601,2,13,104,34,3,1378,27,14,26,42300.0,75900.0,870.0,970.0,58.0,74.0,0.259318021,0.48960145899999996,0.366302012,0.459600889,0.8124002690000001,0.124976459,0.483432309,117.0
Sonoma State University,21.0,57.0,38.0,7.0,2.0,15.0,34.0,59.0,14.0,12.0,17.0,16.0,39.0,158.0,91.0,154.0,17.0,34.0,11.0,65.0,199.0,158.0,29.0,20.0,Rohnert Park,www.sonoma.edu,1,CA,1,21,2,1,25178.0,36338.0,5447.0,9818.0,3998.0,7688.0,74,1327,5371,3283,7747,907,47,465,206,2596,19,4579,623,683,190,56.0,54.0,26.0,81,1949,9,69,43,434,5,1089,108,160,32,50100.0,92600.0,880.0,1100.0,55.0,73.0,0.18766671199999999,0.470947435,0.678405058,0.45565255,0.841270257,0.11412216800000001,0.483551939,136.0
South Dakota State University,34.0,35.0,15.0,2.0,5.0,14.0,39.0,60.0,10.0,11.0,8.0,2.0,17.0,53.0,88.0,51.0,16.0,36.0,92.0,393.0,31.0,30.0,24.0,7.0,Brookings,www.sdstate.edu/,1,SD,1,33,2,1,26527.0,29758.0,2483.0,2577.0,2239.0,2401.0,88,1910,5862,5132,9817,1177,127,137,248,252,10,10691,237,64,810,59.0,57.0,27.0,76,2016,11,13,29,38,0,1846,33,6,40,47900.0,83100.0,900.0,1160.0,57.0,77.0,0.191211183,0.497840813,0.272144841,0.463903081,0.755261437,0.114743148,0.498361228,143.0
Southeast Missouri State University,50.0,82.0,33.0,6.0,8.100638978,17.51118211,39.0,48.0,3.0,8.0,3.0,6.0,13.0,46.0,17.0,6.0,22.0,42.0,22.0,149.0,132.0,116.0,9.0,3.0,Cape Girardeau,www.semo.edu,1,MO,1,13,2,1,20482.0,25867.0,1840.0,2782.0,1546.0,2350.0,93,1603,5929,4658,8837,1592,43,119,1031,199,2,8442,32,988,1131,51.0,49.0,27.0,73,1697,13,16,144,33,0,1353,1,19,118,41300.0,73400.0,913.0,1175.0,57.0,76.0,0.258722515,0.492840203,0.480572987,0.460843066,0.837997793,0.112644657,0.493261312,127.0
Texas A & M University-College Station,59.0,268.0,186.0,64.0,14.0,28.0,299.0,516.0,60.0,39.0,142.0,83.0,75.0,303.0,376.0,323.0,14.0,12.0,62.0,533.0,893.0,852.0,113.0,53.0,College Station,www.tamu.edu,1,TX,1,12,2,1,28278.0,48456.0,16707.0,16506.0,10871.0,11263.0,68,6479,23898,25061,47427,1532,154,3907,2044,12248,66,37943,1719,344,5388,81.0,79.0,49.0,90,10502,38,501,227,1986,8,7275,305,22,140,57200.0,112400.0,1560.0,1920.0,78.0,98.0,0.060625900999999996,0.49972806700000005,0.597684663,0.44703672299999997,0.8281472040000001,0.091670234,0.465431991,209.0
The University of Texas Rio Grande Valley,25.0,95.0,34.0,6.0,17.0,61.0,171.0,245.0,27.0,30.0,28.0,22.0,64.0,265.0,66.0,74.0,74.0,100.0,139.0,551.0,256.0,263.0,33.0,23.0,Edinburg,www.utrgv.edu,1,TX,1,13,2,1,19750.0,29542.0,3990.0,5065.0,3261.0,4186.0,90,2834,13716,10831,20174,4373,13,415,198,25382,20,1059,75,456,966,45.0,39.0,16.0,77,4144,6,52,27,3711,3,121,13,90,121,43200.0,74400.0,1240.0,1550.0,55.0,72.0,0.29283456399999996,0.493113481,0.20847129999999997,0.464810283,0.84483208,0.08331323,0.480278251,100.0
Towson University,182.0,211.0,179.0,34.0,6.0,13.0,53.0,137.0,19.0,24.0,37.0,29.0,67.0,260.0,255.0,227.0,78.0,180.0,79.0,499.0,361.0,250.0,45.0,17.0,Towson,www.towson.edu,1,MD,1,13,2,1,25336.0,37004.0,3952.0,6995.0,2839.0,5194.0,72,1945,11357,7692,16833,2216,28,1119,3746,1303,22,13541,887,1052,586,67.0,65.0,40.0,86,4428,9,205,656,257,7,2935,166,122,71,48200.0,89000.0,1490.0,1750.0,69.0,83.0,0.20560785899999998,0.481516677,0.593657514,0.455787052,0.870917823,0.085631778,0.48249196899999997,172.0
University of California-Irvine,11.0,27.0,265.0,80.0,20.0,59.0,311.0,394.0,52.0,42.0,93.0,69.0,210.0,531.0,449.0,685.0,141.0,237.0,214.0,524.0,338.0,342.0,34.0,34.0,Irvine,www.uci.edu/,1,CA,1,11,2,1,32930.0,59612.0,33133.0,38642.0,12244.0,15520.0,73,3943,13581,11675,24146,1110,26,10334,576,6929,111,5715,1103,631,5411,87.0,86.0,68.0,93,6570,4,2849,137,1552,23,1114,254,89,548,54900.0,118800.0,1540.0,1910.0,71.0,89.0,0.084040036,0.497172035,0.7712983520000001,0.43233624299999995,0.863247221,0.08473737199999999,0.458439837,241.0
University of California-Los Angeles,42.56429652,80.27836611,151.0,28.0,68.0,202.0,529.0,726.0,289.0,256.0,122.0,70.0,223.0,614.0,901.0,1249.0,142.0,296.0,5.0,39.0,126.0,121.0,197.0,127.0,Los Angeles,www.ucla.edu/,1,CA,1,11,2,1,34056.0,60738.0,43336.0,49354.0,7140.0,8876.0,61,3486,16585,13000,28068,1517,71,11063,1306,7398,108,12473,1884,984,6621,92.0,90.0,69.0,96,8105,12,2378,175,1515,19,2293,370,173,1170,57500.0,114800.0,1770.0,2200.0,83.0,101.0,0.097296804,0.49267480799999996,0.7840929329999999,0.44470467399999997,0.823292547,0.084685665,0.46039118799999995,251.0
University of California-San Diego,79.0,202.0,376.0,89.0,12.0,42.0,562.0,781.0,110.0,90.0,114.0,114.0,103.0,288.0,510.0,469.0,34.0,82.0,26.0,117.0,158.0,104.0,29.0,29.0,La Jolla,www.ucsd.edu,1,CA,1,11,2,1,32239.0,58921.0,36844.0,41217.0,12570.0,13765.0,61,2999,12634,13956,25084,1506,44,10903,431,4639,96,7808,1467,793,6725,88.0,86.0,56.0,95,6203,11,2412,59,923,23,1508,302,133,832,58600.0,124900.0,1820.0,2160.0,84.0,101.0,0.106863998,0.498782822,0.771530333,0.43473066899999996,0.8332287270000001,0.084910045,0.457170078,230.0
University of Minnesota-Duluth,33.0,53.0,70.0,10.0,11.0,18.0,88.0,117.0,23.0,19.0,34.0,20.0,26.0,97.0,81.0,60.0,35.0,71.0,24.0,67.0,233.0,122.0,7.0,2.0,Duluth,www.d.umn.edu/,1,MN,1,13,2,1,24103.0,28449.0,3722.0,3777.0,2683.0,3013.0,82,1803,4626,5211,9352,485,105,324,233,256,4,8819,295,548,294,60.0,59.0,30.0,76,1875,4,41,32,32,0,1665,50,16,35,49600.0,90200.0,1400.0,1780.0,71.0,87.0,0.09375513,0.49828235200000004,0.33750206200000005,0.457832874,0.8619881629999999,0.09021352699999999,0.496589884,149.0
University of North Carolina at Greensboro,59.0,85.0,86.0,19.0,16.0,31.0,54.0,99.0,9.0,9.0,8.0,2.0,43.0,138.0,69.0,142.0,76.0,150.0,31.0,254.0,249.0,262.0,42.0,25.0,Greensboro,www.uncg.edu,1,NC,1,11,2,1,20085.0,34947.0,3379.0,7187.0,2004.0,4188.0,82,2108,10640,5451,13123,2968,67,838,4923,1321,20,10415,750,410,649,58.0,55.0,30.0,77,2888,8,112,686,180,5,1734,98,16,49,41900.0,71900.0,1380.0,1650.0,65.0,83.0,0.300876274,0.44803168299999996,0.639079622,0.465256234,0.86141313,0.08883073,0.463541936,143.0
University of North Florida,78.0,170.0,103.0,15.0,4.0,29.0,64.0,83.0,18.0,6.0,29.0,11.0,70.0,241.0,91.0,97.0,36.0,85.0,141.0,469.0,358.0,198.0,21.0,18.0,Jacksonville,www.unf.edu,1,FL,1,11,2,1,21210.0,35614.0,4314.0,6588.0,2464.0,3707.0,78,1405,7586,6231,10514,3303,19,691,1506,1507,16,10665,800,82,389,53.0,50.0,21.0,80,3255,3,148,257,311,3,2310,163,10,50,45600.0,85000.0,1570.0,1830.0,72.0,87.0,0.363840014,0.495227215,0.516046228,0.454496701,0.843535877,0.085383137,0.467881052,124.0
University of Northern Iowa,58.0,110.0,29.0,1.0,7.0,6.0,55.0,68.0,20.0,17.0,14.0,5.0,22.0,75.0,72.0,54.0,36.0,69.0,12.0,104.0,245.0,159.0,27.0,14.0,Cedar Falls,www.uni.edu,1,IA,1,13,2,1,20788.0,31330.0,2156.0,3238.0,1663.0,2627.0,80,1410,5804,4365,9198,971,22,133,352,379,7,9868,230,374,616,68.0,66.0,37.0,80,2166,4,12,63,53,0,1866,43,42,83,44900.0,82200.0,1240.0,1730.0,63.0,83.0,0.172754292,0.490035861,0.316037454,0.45694136,0.84121985,0.089347787,0.47955226700000003,171.0
