Rank,Institution Name,City location of institution_x,Amenities,Civic,Demographics,Econ,Education,Health,Housing,Infrast.,LivScore,Livability Rank,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Grand total (C2016_A  First major  Grand total  Bachelor's degree),Full-time retention rate  2015 (EF2015D),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
,North Dakota State University-Main Campus,Fargo,62,60,37,46,67,79,66,47,638,31,Fargo,https://www.ndsu.edu,1,ND,1,12,2,1,2286,78,0.151808925,0.495704628,0.328081212,0.458363584,0.811723174,0.079884886,0.476106738,135,0.854117722,0.497520514
219,The University of Montana,Missoula,65,68,20,39,71,71,56,55,616,76,Missoula,www.umt.edu,1,MT,1,13,2,1,1685,73,0.367189943,0.496330654,0.433991036,0.450233541,0.854134782,0.084171671,0.452013214,123,0.742680501,0.494155525
184,University of North Dakota,Grand Forks,57,72,32,43,69,74,65,46,633,44,Grand Forks,und.edu,1,ND,1,13,2,1,2115,81,0.285282092,0.491229393,0.37094328,0.458929058,0.839803031,0.118210734,0.476988116,133,0.891274341,0.498315888
464,University of Southern Maine,Portland,53,70,34,57,51,77,53,74,646,23,Portland,www.usm.maine.edu,1,ME,1,13,2,1,1218,64,0.435539069,0.493439672,0.401179292,0.466918326,0.8306319,0.081384194,0.480808482,81,0.69611784,0.482776705
,University of California-Irvine,Irvine,61,61,52,51,69,59,45,54,624,59,Irvine,www.uci.edu/,1,CA,1,11,2,1,6570,93,0.084040036,0.497172035,0.771298352,0.432336243,0.863247221,0.084737372,0.458439837,241,0.316969356,0.497061357
,University of Minnesota-Duluth,Duluth,66,63,20,38,65,86,62,46,617,74,Duluth,www.d.umn.edu/,1,MN,1,13,2,1,1875,76,0.09375513,0.498282352,0.337502062,0.457832874,0.861988163,0.090213527,0.496589884,149,0.738859636,0.500039785
6,Cornell University,Ithaca,56,55,40,43,77,76,62,67,657,14,Ithaca,www.cornell.edu,2,NY,1,13,2,1,3758,97,0.020738888,0.499551719,0.768815207,0.4526776,0.845468579,0.042832145,0.500003698,274,0.7956954,0.496932889
,SUNY at Albany,Albany,51,65,49,40,57,70,51,74,632,46,Albany,www.albany.edu,1,NY,1,13,2,1,3003,82,0.117916594,0.499815035,0.688675942,0.44159307,0.84336038,0.042364661,0.473341958,189,0.525124098,0.49937618
143,The University of Texas at Arlington,Arlington,51,80,53,61,68,49,42,68,648,19,Arlington,WWW.UTA.EDU,1,TX,1,11,2,1,7481,71,0.498463678,0.478807031,0.765500954,0.459186827,0.642351625,0.090190966,0.476061355,101,0.892352193,0.494500062
,University of South Carolina-Columbia,Columbia,44,70,71,66,67,56,55,44,649,18,Columbia,www.sc.edu/,1,SC,1,12,2,1,5417,87,0.110554134,0.497416468,0.440752963,0.458751788,0.816262903,0.043820555,0.463605469,201,0.604624881,0.484707352
